TransactionID,CustomerID,Gender,Age,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Month,DayOfWeek,AgeGroup,City_Bengaluru,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kolkata,City_Lucknow,City_Mumbai,City_Pune
T00001,C2824,0,0.28846153846153855,Fashion,0.5,0.8936734693877552,2023-03-15,Cash,0.7879643323304475,March,Wednesday,Adult(26-40),True,False,False,False,False,False,False,False,False
T00002,C1409,2,0.03846153846153849,Books,1.0,0.19408163265306125,2023-01-22,Card,0.5333443896562846,January,Sunday,Young Adult(18-25),False,False,False,False,False,False,False,False,True
T00003,C5506,2,0.5576923076923077,Furniture,0.0,0.0022448979591836726,2023-04-18,Wallet,0.0,April,Tuesday,Mid Age(41-60),False,False,False,False,False,False,False,False,True
T00004,C5012,2,0.05769230769230771,Groceries,1.0,0.5808163265306122,2023-08-09,Cash,0.8169891263747053,August,Wednesday,Young Adult(18-25),False,False,False,True,False,False,False,False,False
T00005,C4657,0,0.4423076923076924,Sports,0.0,0.616938775510204,2023-09-23,Wallet,0.42043388075017263,September,Saturday,Mid Age(41-60),False,True,False,False,False,False,False,False,False
T00006,C3286,1,0.8653846153846155,Furniture,0.25,0.5424489795918367,2023-05-23,Card,0.5447955004552041,May,Tuesday,Senior(60+),False,False,True,False,False,False,False,False,False
T00007,C2679,2,0.23076923076923084,Electronics,1.0,0.1389795918367347,2023-10-22,Card,0.4667503584475661,October,Sunday,Adult(26-40),False,False,False,False,False,False,False,False,True
T00008,C9935,0,0.326923076923077,Books,1.0,0.9181632653061225,2023-11-12,Cash,0.9697196907587466,November,Sunday,Adult(26-40),False,False,False,True,False,False,False,False,False
T00009,C2424,0,0.4423076923076924,Books,1.0,0.44142857142857145,2023-06-10,Cash,0.7357829388834958,June,Saturday,Mid Age(41-60),False,False,False,False,True,False,False,False,False
T00010,C7912,1,1.0,Groceries,0.0,0.223265306122449,2023-02-20,UPI,0.2533196138489267,February,Monday,Senior(60+),False,False,False,False,False,False,True,False,False
T00011,C1520,1,0.5576923076923077,Books,1.0,0.6826530612244898,2023-06-27,Card,0.8683182808226169,June,Tuesday,Mid Age(41-60),False,True,False,False,False,False,False,False,False
T00012,C1488,0,0.6153846153846154,Sports,1.0,0.4928571428571429,2023-05-26,Cash,0.7675139981517894,May,Friday,Mid Age(41-60),False,True,False,False,False,False,False,False,False
T00013,C2535,1,0.48076923076923084,Groceries,0.25,0.5426530612244898,2023-03-26,Wallet,0.5448817745284035,March,Sunday,Mid Age(41-60),False,False,False,False,True,False,False,False,False
T00014,C4582,2,0.7692307692307693,Furniture,0.75,0.09571428571428572,2023-03-02,Cash,0.3599934593057784,March,Thursday,Mid Age(41-60),False,True,False,False,False,False,False,False,False
T00015,C4811,0,0.13461538461538464,Sports,1.0,0.017346938775510204,2023-05-28,Cash,0.2165406344455741,May,Sunday,Young Adult(18-25),False,False,False,False,False,False,False,False,True
T00016,C9279,2,0.826923076923077,Beauty,0.0,0.5942857142857143,2023-05-21,Wallet,0.41322335662065623,May,Sunday,Senior(60+),False,False,False,True,False,False,False,False,False
T00017,C1434,0,0.019230769230769273,Furniture,0.0,0.36653061224489797,2023-09-07,Wallet,0.32764313477324913,September,Thursday,Young Adult(18-25),False,False,True,False,False,False,False,False,False
T00018,C4257,2,0.28846153846153855,Fashion,1.0,0.46755102040816326,2023-08-13,Wallet,0.7521920474633722,August,Sunday,Adult(26-40),True,False,False,False,False,False,False,False,False
